unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1655251200000,2022-06-15 00:00:00,BTC/EUR,21198.0,21226.788,20990.0,21168.0,308367.2573856,14.5676142
1655164800000,2022-06-14 00:00:00,BTC/EUR,21592.0,22393.0,20045.417,21247.87104,25321879.067760188,1191.73723429
1655078400000,2022-06-13 00:00:00,BTC/EUR,25393.0,25686.0,21093.0,21606.8175,40292652.246616445,1864.81198569
1654992000000,2022-06-12 00:00:00,BTC/EUR,27029.0,27150.0,25394.0,25402.56441,10868792.148987088,427.86200533
1654905600000,2022-06-11 00:00:00,BTC/EUR,27672.0,27973.0,26762.0,27033.0,4560265.02967665,168.69252505
1654819200000,2022-06-10 00:00:00,BTC/EUR,28340.0,28600.0,27456.8135,27663.0,19101740.63822991,690.51587457
1654732800000,2022-06-09 00:00:00,BTC/EUR,28213.0,28656.0,27945.0,28353.0,19834083.11615172,699.54089924
1654646400000,2022-06-08 00:00:00,BTC/EUR,29100.0,29257.37451,27942.50538296,28199.4908,6947577.79168167,246.37245548
1654560000000,2022-06-07 00:00:00,BTC/EUR,29346.0,29505.0,27329.0,29112.0,13431538.24573608,461.37463059
1654473600000,2022-06-06 00:00:00,BTC/EUR,27886.0,29672.0,27886.0,29321.0,11170490.08434992,380.97234352
1654387200000,2022-06-05 00:00:00,BTC/EUR,27853.0353,28213.0,27571.0,27897.0,1963802.72991315,70.39476395
1654300800000,2022-06-04 00:00:00,BTC/EUR,27738.0,27988.0,27522.0,27850.0,878603.813177,31.547713220000002
1654214400000,2022-06-03 00:00:00,BTC/EUR,28330.0,28554.0,27325.0,27722.05512176,6229122.159460774,224.69914774
1654128000000,2022-06-02 00:00:00,BTC/EUR,28009.0,28556.0,27691.0,28346.89879,7270218.130311272,256.47313959
1654041600000,2022-06-01 00:00:00,BTC/EUR,29654.0,29798.0,27388.0,28002.0,9639545.5385892,344.2448946
1653955200000,2022-05-31 00:00:00,BTC/EUR,29445.0,30209.0,29093.9208,29615.0,11186024.29745895,377.71481673
1653868800000,2022-05-30 00:00:00,BTC/EUR,27458.0,30644.0,27312.0,29460.0,13960637.271898199,473.88449667
1653782400000,2022-05-29 00:00:00,BTC/EUR,27038.0,27665.0,26875.01954354,27492.0,4274696.15993652,155.48872981
1653696000000,2022-05-28 00:00:00,BTC/EUR,26658.0,27261.0,26575.0,27051.0,1934422.79161023,71.51021373
1653609600000,2022-05-27 00:00:00,BTC/EUR,27200.0,27372.0,26360.0,26650.0,11540699.44794,433.0468836
1653523200000,2022-05-26 00:00:00,BTC/EUR,27608.0,27924.71821163,26160.0,27213.0,10133711.20213875,372.38493375
1653436800000,2022-05-25 00:00:00,BTC/EUR,27622.0,28220.0,27534.0,27647.57064,5252503.689106825,189.98065897
1653350400000,2022-05-24 00:00:00,BTC/EUR,27232.0,27797.0,26663.0,27627.0,9278091.750888512,335.83421113
1653264000000,2022-05-23 00:00:00,BTC/EUR,28635.0,28922.0,27021.0,27229.0,11756248.78702067,431.75470223
1653177600000,2022-05-22 00:00:00,BTC/EUR,27862.0,28807.0,27684.0,28639.0,3211900.03909957,112.15126363
1653091200000,2022-05-21 00:00:00,BTC/EUR,27647.0,28073.0,27409.0,27872.0,1594754.5351462401,57.21708292
1653004800000,2022-05-20 00:00:00,BTC/EUR,28649.0,29205.5075,27191.78705,27647.0,7702225.73376257,278.59173631
